video_id,duration_min,time_since_upload_days,upload_year,upload_month,upload_dow,upload_hour,tags_count,desc_length,has_links_in_desc,views_per_day,target_views,target_views_log,target_views_per_day,target_views_per_day_log,target_engagement,title__nan,title__nan nan
B77mAVbHhxg,,,,,,,0,0,0,,19903.0,9.898675995538905,,,0.0,3,2
gE7MIZK0OuY,,,,,,,0,0,0,,5151155.0,15.45473171347061,,,0.0,3,2
GWrI0xzMpi8,,,,,,,0,0,0,,27348.0,10.216435244110384,,,0.0,3,2
8F3nhJPaAfE,,,,,,,0,0,0,,2065647.0,14.540954536604676,,,0.0,3,2
cZ8IZfNiSDU,,,,,,,0,0,0,,5486954.0,15.51788401480464,,,0.0,3,2
7AKcm7JBraE,,,,,,,0,0,0,,5001127.0,15.425174044954522,,,0.0,3,2
BIF0mq93gTE,,,,,,,0,0,0,,28653352.0,17.17078102743599,,,0.0,3,2
Ko7E7yOcCwA,,,,,,,0,0,0,,433885.0,12.980537105766937,,,0.0,3,2
193Akjo56UI,,,,,,,0,0,0,,32716.0,10.395650099471604,,,0.0,3,2
552sdT8pP-E,,,,,,,0,0,0,,2826.0,7.946971357693591,,,0.0,3,2
15Gk48cAbq0,,,,,,,0,0,0,,4714.0,8.458504195067558,,,0.0,3,2
1FJEzID-TcA,,,,,,,0,0,0,,5262.0,8.56845648535378,,,0.0,3,2
xA1yxy3MV4o,,,,,,,0,0,0,,207144.0,12.241174310115523,,,0.0,3,2
4bto-7EgPnw,,,,,,,0,0,0,,742.0,6.610696044717759,,,0.0,3,2
6jLf0lo0qog,,,,,,,0,0,0,,1073.0,6.97914527506881,,,0.0,3,2
WOgcCSTdnu4,,,,,,,0,0,0,,94.0,4.553876891600541,,,0.0,3,2
SUtQNwgV8gM,,,,,,,0,0,0,,11165.0,9.320628725870305,,,0.0,3,2
VXGCQOBXreg,,,,,,,0,0,0,,2199533.0,14.603756077710086,,,0.0,3,2
MzB_b-IH0cI,,,,,,,0,0,0,,560057.0,13.235795628776753,,,0.0,3,2
tnJkxMLjkU4,,,,,,,0,0,0,,4495926.0,15.318682433769045,,,0.0,3,2
8XNaPX6MKlU,,,,,,,0,0,0,,373492817.0,19.738409333436607,,,0.0,3,2
ij_0p_6qTss,,,,,,,0,0,0,,931520727.0,20.652329000039607,,,0.0,3,2
d7Zf5c0Nb1o,,,,,,,0,0,0,,52319651.0,17.772882613714952,,,0.0,3,2
zhT_vBbED9E,,,,,,,0,0,0,,613786.0,13.327403241406175,,,0.0,3,2
AO4ICxki0vk,,,,,,,0,0,0,,10654462.0,16.18148942337102,,,0.0,3,2
lTtyxWz421E,,,,,,,0,0,0,,5510538.0,15.522172998486385,,,0.0,3,2
RZ1Yy0U02Qs,,,,,,,0,0,0,,6989512.0,15.759921440824346,,,0.0,3,2
RSNhouqlJN8,,,,,,,0,0,0,,2122268.0,14.567996357322537,,,0.0,3,2
_Q9mhxPne0I,,,,,,,0,0,0,,970431.0,13.78549661216061,,,0.0,3,2
hLQl3WQQoQ0,,,,,,,0,0,0,,2281571191.536004,21.54813016211226,,,0.0,3,2
znlFu_lemsU,,,,,,,0,0,0,,867531393.0,20.58116225817947,,,0.0,3,2
ScuiC9IFHlA,,,,,,,0,0,0,,60786.0,11.01513122930293,,,0.0,3,2
Cyz769PCoj8,,,,,,,0,0,0,,54717.0,10.909948001920872,,,0.0,3,2
-frXMjx_Kxc,,,,,,,0,0,0,,11012.0,9.306831672164943,,,0.0,3,2
_nZMDUg09Yk,,,,,,,0,0,0,,9449.0,9.153770020487789,,,0.0,3,2
N8ZY9mMd6K8,,,,,,,0,0,0,,9002.0,9.105313134108476,,,0.0,3,2
PAVWpQKTBE8,,,,,,,0,0,0,,7439.0,8.914626127827137,,,0.0,3,2
Xz8nHJogKHE,,,,,,,0,0,0,,6805.0,8.82555985506085,,,0.0,3,2
iXCrjTy_gZU,,,,,,,0,0,0,,5670.0,8.643120748014027,,,0.0,3,2
6kMh7OsoE60,,,,,,,0,0,0,,4437.0,8.39795910349254,,,0.0,3,2
i0y4cx0dItc,,,,,,,0,0,0,,3213.0,8.075271546297458,,,0.0,3,2
5BQRF8NgTWo,,,,,,,0,0,0,,2577.0,7.8547691834991324,,,0.0,3,2
3H8o4ArQO-8,,,,,,,0,0,0,,2531.0,7.836764783264067,,,0.0,3,2
1fLmEXueInM,,,,,,,0,0,0,,2705.0,7.903226808730733,,,0.0,3,2
AaaXLnfD_n0,,,,,,,0,0,0,,2486.0,7.818832443803404,,,0.0,3,2
ngjxGEb4XEI,,,,,,,0,0,0,,3754.0,8.230843564198235,,,0.0,3,2
eg3kI7UIj8Y,,,,,,,0,0,0,,1432.0,7.267525427828172,,,0.0,3,2
3-XzLXuxUvo,,,,,,,0,0,0,,1393.0,7.2399325913204695,,,0.0,3,2
ChPoramSE9w,,,,,,,0,0,0,,2542.0,7.841099765422119,,,0.0,3,2
eDk62DCU4Vc,,,,,,,0,0,0,,943.0,6.8501261661455,,,0.0,3,2
2wrUT73nlR0,,,,,,,0,0,0,,1009.0,6.917705609835305,,,0.0,3,2
